
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:15:35] Messages: 13200 (binance=12514  kraken=14  coinbase=672) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:36] Messages: 13400 (binance=12712  kraken=14  coinbase=674) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:36] Messages: 13600 (binance=12902  kraken=14  coinbase=684) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:37] Messages: 13800 (binance=13099  kraken=14  coinbase=687) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:37] Messages: 14200 (binance=13489  kraken=14  coinbase=697) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:37] Messages: 14400 (binance=13687  kraken=14  coinbase=699) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:39] Messages: 14600 (binance=13870  kraken=14  coinbase=716) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:39] Messages: 14800 (binance=14061  kraken=14  coinbase=725) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:40] Messages: 15000 (binance=14256  kraken=14  coinbase=730) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:43] Messages: 15200 (binance=14431  kraken=14  coinbase=755) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:15:48] Messages: 15400 (binance=14593  kraken=15  coinbase=792) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
