timestamp_utc,symbol,exchange,mid_price,best_bid,best_ask
2026-03-11T15:38:02.037+00:00,ETH-USD,coinbase,2043.34,2043.32,2043.36
2026-03-11T15:38:02.160+00:00,ETH-USD,coinbase,2043.34,2043.32,2043.36
2026-03-11T15:38:02.160+00:00,BTC-USD,coinbase,70162.505,70162.5,70162.51
2026-03-11T15:38:02.161+00:00,SOL-USD,kraken,85.155,85.15,85.16
2026-03-11T15:38:02.294+00:00,ETH-USD,coinbase,2043.355,2043.35,2043.36
2026-03-11T15:38:02.322+00:00,BTC-USD,coinbase,70162.505,70162.5,70162.51
2026-03-11T15:38:02.351+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:02.533+00:00,ETH-USD,coinbase,2043.44,2043.41,2043.47
2026-03-11T15:38:02.572+00:00,BTC-USD,coinbase,70163.195,70163.19,70163.2
2026-03-11T15:38:02.665+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:02.693+00:00,BTC-USD,coinbase,70163.195,70163.19,70163.2
2026-03-11T15:38:02.786+00:00,ETH-USD,coinbase,2043.225,2043.18,2043.27
2026-03-11T15:38:02.819+00:00,BTC-USD,coinbase,70163.195,70163.19,70163.2
2026-03-11T15:38:02.850+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:02.944+00:00,BTC-USD,coinbase,70163.195,70163.19,70163.2
2026-03-11T15:38:03.039+00:00,ETH-USD,coinbase,2043.225,2043.22,2043.23
2026-03-11T15:38:03.072+00:00,BTC-USD,coinbase,70157.455,70157.45,70157.46
2026-03-11T15:38:03.100+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:03.194+00:00,BTC-USD,coinbase,70157.455,70157.45,70157.46
2026-03-11T15:38:03.284+00:00,ETH-USD,coinbase,2043.3249999999998,2043.32,2043.33
2026-03-11T15:38:03.318+00:00,BTC-USD,coinbase,70159.285,70159.28,70159.29
2026-03-11T15:38:03.372+00:00,SOL-USD,coinbase,85.16499999999999,85.16,85.17
2026-03-11T15:38:03.471+00:00,BTC-USD,coinbase,70159.285,70159.28,70159.29
2026-03-11T15:38:03.533+00:00,ETH-USD,coinbase,2043.175,2043.12,2043.23
2026-03-11T15:38:03.570+00:00,BTC-USD,coinbase,70156.76999999999,70156.11,70157.43
2026-03-11T15:38:03.598+00:00,SOL-USD,coinbase,85.155,85.15,85.16
2026-03-11T15:38:03.784+00:00,ETH-USD,coinbase,2043.26,2043.22,2043.3
2026-03-11T15:38:03.817+00:00,BTC-USD,coinbase,70157.41500000001,70157.41,70157.42
2026-03-11T15:38:03.850+00:00,SOL-USD,coinbase,85.155,85.15,85.16
2026-03-11T15:38:03.944+00:00,BTC-USD,coinbase,70157.41500000001,70157.41,70157.42
2026-03-11T15:38:04.032+00:00,ETH-USD,coinbase,2043.3049999999998,2043.3,2043.31
2026-03-11T15:38:04.073+00:00,BTC-USD,coinbase,70163.195,70163.19,70163.2
2026-03-11T15:38:04.104+00:00,SOL-USD,coinbase,85.155,85.15,85.16
2026-03-11T15:38:04.239+00:00,BTC-USD,coinbase,70163.195,70163.19,70163.2
2026-03-11T15:38:04.283+00:00,ETH-USD,coinbase,2043.21,2043.2,2043.22
2026-03-11T15:38:04.320+00:00,BTC-USD,coinbase,70155.815,70155.58,70156.05
2026-03-11T15:38:04.350+00:00,SOL-USD,coinbase,85.14500000000001,85.14,85.15
